TPR FPR SIZE
94.33962264150944 4.3478260869565215 200.0
93.07692307692308 9.322033898305085 500.0
91.23931623931624 4.597701149425287 2000.0
94.82470784641069 4.776820673453407 5000.0
94.46464646464646 4.444444444444445 10000.0
95.1707415639523 4.605130276711775 20000.0
95.10765187506317 4.158675683859897 40000.0
90.9090909090909 6.8181818181818175 200.0
93.23308270676691 4.3478260869565215 500.0
93.64754098360656 5.577689243027888 2000.0
95.10825982357657 5.537459283387622 5000.0
94.2982456140351 4.135954135954136 10000.0
94.92782678428227 4.275244299674267 20000.0
94.91942933388073 3.957442577309337 40000.0
96.15384615384616 2.127659574468085 200.0
93.61702127659575 5.607476635514018 500.0
93.2806324110672 5.785123966942149 2000.0
95.3307392996109 5.46218487394958 5000.0
94.2046855733662 4.966229638458483 10000.0
94.85971738685235 4.165836157065975 20000.0
95.15431788478938 4.151019993910484 40000.0
80.35714285714286 2.3255813953488373 200.0
94.9579831932773 4.651162790697675 500.0
92.38095238095238 5.806451612903226 2000.0
93.97590361445783 5.4471544715447155 5000.0
95.23998413328044 5.187319884726225 10000.0
95.41953790028374 4.027386226339106 20000.0
95.41311967951927 4.044829342842588 40000.0
88.37209302325581 16.071428571428573 200.0
95.23809523809523 0.0 500.0
93.42359767891682 4.439746300211417 2000.0
95.63812600969305 5.092966855295069 5000.0
94.53349773941636 4.131903059197457 10000.0
94.95422177009155 4.292878635907723 20000.0
95.20679542926483 4.177176874180204 40000.0
96.29629629629629 2.2222222222222223 200.0
89.07563025210085 4.651162790697675 500.0
96.23015873015873 5.555555555555555 2000.0
95.56451612903226 4.696356275303644 5000.0
94.47004608294931 4.44791260241904 10000.0
94.45802770986145 4.186698717948718 20000.0
95.31030327374975 3.9016460069091643 40000.0
95.34883720930233 7.142857142857142 200.0
92.19858156028369 7.476635514018691 500.0
93.30628803245436 5.030181086519115 2000.0
95.03722084367246 6.398104265402843 5000.0
94.46672012830794 4.397394136807818 10000.0
95.52087555735712 4.269029399919452 20000.0
95.37373737373738 4.05050505050505 40000.0
84.90566037735849 2.1739130434782608 200.0
94.0677966101695 7.6923076923076925 500.0
94.41117764471058 5.930470347648262 2000.0
93.75506893755069 4.3478260869565215 5000.0
95.01633986928104 4.7162270183852915 10000.0
94.81949826636753 4.2225335201120675 20000.0
95.1764941837144 3.7952787952787954 40000.0
90.0 2.0408163265306123 200.0
93.69369369369369 4.37956204379562 500.0
93.56136820925553 5.273833671399594 2000.0
94.75437135720233 5.651491365777081 5000.0
94.43772672309552 3.72620494127177 10000.0
95.17005433688871 4.116812005678361 20000.0
95.26615197074359 4.479710727199679 40000.0
93.44262295081968 2.631578947368421 200.0
94.73684210526315 13.91304347826087 500.0
93.56846473029046 5.905511811023622 2000.0
94.74123539232053 5.011746280344558 5000.0
95.13093289689034 5.466879489225858 10000.0
94.75200658571723 4.364213449712358 20000.0
95.20686175580222 4.105156723963599 40000.0
93.47826086956522 13.20754716981132 200.0
93.75 8.333333333333332 500.0
94.5631067961165 4.842105263157895 2000.0
94.42724458204334 4.057480980557903 5000.0
94.62102689486552 4.807692307692308 10000.0
95.34645346453465 4.2612504978096375 20000.0
94.90529727539754 4.1301500956986 40000.0
92.0 8.16326530612245 200.0
88.7218045112782 4.3478260869565215 500.0
92.5311203319502 4.921259842519685 2000.0
95.09559434746467 6.289308176100629 5000.0
94.42636289666395 5.296950240770466 10000.0
95.06147954041523 4.150637780927314 20000.0
95.05197920831667 4.1853817884850955 40000.0
92.3076923076923 10.638297872340425 200.0
92.0 7.317073170731707 500.0
93.4322033898305 5.7915057915057915 2000.0
95.1510333863275 3.2867707477403454 5000.0
94.37976716178241 4.473363155754371 10000.0
95.439672801636 4.590818363273453 20000.0
94.75912114493046 4.089896740230816 40000.0
88.0 6.122448979591836 200.0
92.06349206349206 13.114754098360656 500.0
93.7888198757764 5.325443786982249 2000.0
94.53507340946167 5.044035228182546 5000.0
94.19878296146045 5.472837022132797 10000.0
95.41284403669725 4.524524524524525 20000.0
95.08523576911574 4.237895383355513 40000.0
88.0 12.244897959183673 200.0
96.82539682539682 5.737704918032787 500.0
91.90283400809717 7.459677419354839 2000.0
95.09803921568627 4.476418864908074 5000.0
94.72632840591291 4.372701266857376 10000.0
95.03996720639475 4.640509858593905 20000.0
95.03200243828101 4.378828964547554 40000.0
90.0 8.47457627118644 200.0
90.83333333333333 5.46875 500.0
92.91187739463601 6.41025641025641 2000.0
93.73983739837398 5.381526104417671 5000.0
94.12698412698413 5.102880658436214 10000.0
94.49101796407186 4.7239263803680975 20000.0
95.52344381568311 4.351777059773829 40000.0
92.0 8.16326530612245 200.0
96.69421487603306 6.299212598425196 500.0
93.24894514767934 5.038759689922481 2000.0
95.36585365853658 5.220883534136546 5000.0
94.46052087639521 5.25483998419597 10000.0
95.26305180407176 4.3328609030168055 20000.0
95.24820543928824 4.2587546674740135 40000.0
81.3953488372093 1.7857142857142856 200.0
95.9349593495935 6.4 500.0
95.39748953974896 8.0078125 2000.0
94.83717235901509 4.440789473684211 5000.0
94.92694805194806 5.390185036202736 10000.0
95.47031218118751 4.440888177635527 20000.0
95.36040609137055 4.110552763819095 40000.0
91.66666666666666 7.8431372549019605 200.0
94.0677966101695 9.230769230769232 500.0
93.52941176470588 7.916666666666666 2000.0
94.43983402489626 4.645669291338582 5000.0
95.42324827865532 5.763804917372027 10000.0
94.50592885375494 4.731404958677686 20000.0
94.48462929475588 4.143814747105424 40000.0
94.44444444444444 0.0 200.0
89.60000000000001 8.94308943089431 500.0
94.03292181069959 5.357142857142857 2000.0
94.91803278688525 4.541832669322709 5000.0
95.12779552715655 4.578904333605887 10000.0
94.57380036444624 4.6160048377343275 20000.0
94.97781363453005 4.53257790368272 40000.0
75.92592592592592 4.444444444444445 200.0
94.44444444444444 10.655737704918032 500.0
93.40425531914893 5.5769230769230775 2000.0
94.56869009584665 5.478331970564186 5000.0
94.68041237113401 4.99009900990099 10000.0
95.19192718638702 4.333470903838217 20000.0
94.97827624532687 4.109865697263455 40000.0
89.79591836734694 2.0 200.0
